GID_2,GID_0,year,pop_count,lnpop
AFG.33.5_1,AFG,1990,29605,3.38794326598374
AFG.33.6_1,AFG,1990,11547,2.44642566296972
AFG.33.7_1,AFG,1990,27610,3.31817802594206
AFG.33.8_1,AFG,1990,30232,3.40890096604719
AFG.34.1_1,AFG,1990,21234,3.05560367059138
AFG.34.2_1,AFG,1990,5961,1.78523825223779
AFG.34.3_1,AFG,1990,19984,2.99493195338322
AFG.34.4_1,AFG,1990,5166,1.64209869467365
AFG.34.5_1,AFG,1990,13470,2.60046499042227
AFG.34.6_1,AFG,1990,26404,3.27351551382652
AFG.34.7_1,AFG,1990,10259,2.32815536910558
AFG.34.8_1,AFG,1990,6002,1.79209274701818
AFG.34.9_1,AFG,1990,7001,1.94605299599506
AGO.1.1_1,AGO,1990,20561,3.02339607753646
AGO.1.2_1,AGO,1990,205515,5.32551902397318
AGO.1.3_1,AGO,1990,4226,1.44125591919387
AGO.1.4_1,AGO,1990,1451,0.372252973902051
AGO.1.5_1,AGO,1990,57622,4.05390443922408
AGO.2.1_1,AGO,1990,49493,3.90183124543331
AGO.2.2_1,AGO,1990,48358,3.87863166839842
AGO.2.3_1,AGO,1990,393588,5.97530467690846
AGO.2.4_1,AGO,1990,134712,4.90313916630801
AGO.2.5_1,AGO,1990,61949,4.12631146589483
AGO.2.6_1,AGO,1990,39614,3.67918259113507
AGO.2.7_1,AGO,1990,140012,4.94172813322176
AGO.2.8_1,AGO,1990,109267,4.6937944282776
AGO.2.9_1,AGO,1990,303556,5.71556610748223
AGO.3.1_1,AGO,1990,236501,5.46595243625286
AGO.3.2_1,AGO,1990,142792,4.96138902592721
AGO.3.3_1,AGO,1990,119129,4.78020693958482
AGO.3.4_1,AGO,1990,118292,4.77315614401468
AGO.3.5_1,AGO,1990,69084,4.23532315548167
AGO.3.6_1,AGO,1990,51375,3.9391516728164
AGO.3.7_1,AGO,1990,69696,4.2441429273105
AGO.3.8_1,AGO,1990,196819,5.28228452467346
